"","Polaridade","word","stem"
"231",-1,"neymar",NA
"232",-1,"humanos","humano"
"233",-1,"carater",NA
"234",-1,"mexeu","mexer"
"235",-1,"labios",NA
"236",-1,"playback",NA
"237",-1,"savagexfentyshow",NA
"238",-1,"incrivel",NA
"239",-1,"acertou","acertar"
"240",-1,"vom",NA
"241",-1,"deluxe",NA
"242",-1,"premiacao",NA
"243",-1,"esquisita","esquisito"
"244",-1,"possibilidade",NA
"245",-1,"aguento","aguentar"
"246",-1,"fato",NA
"247",-1,"cintura",NA
"248",-1,"incomoda","incomodar"
"249",-1,"pessoa",NA
"250",-1,"fofa","fofar"
"251",-1,"fofa","fofo"
"252",-1,"cmg",NA
"253",-1,"dedica","dedicar"
"254",-1,"musica","musicar"
"255",-1,"esquisita","esquisito"
"256",-1,"estranha","estranhar"
"257",-1,"estranha","estranho"
"258",-1,"odio",NA
"259",-1,"amor",NA
"260",-1,"desmerecer",NA
"261",-1,"ninguem",NA
"262",-1,"gosto","gostar"
"263",-1,"masss",NA
"264",-1,"pqp",NA
"265",-1,"queria","querer"
"266",-1,"ficar",NA
"267",-1,"parecendo","parecer"
"268",-1,"desmerecendo","desmerecer"
"269",-1,"enaltecer",NA
"270",-1,"sinto","sentir"
"271",-1,"obrigacao",NA
"272",-1,"lembrar",NA
"273",-1,"posicionamentos","posicionamento"
"274",-1,"politicos",NA
"275",-1,"eleicoes",NA
"276",1,"banheiro",NA
"277",1,"job",NA
"278",1,"dancar",NA
"279",1,"proposta","propor"
"280",1,"proposta","proposto"
"281",1,"copa","copar"
"282",1,"carreira",NA
"283",1,"inveja","invejar"
"284",1,"haters",NA
"285",1,"pena","penar"
"286",1,"pena","peno"
"287",1,"bebe","beber"
"288",1,"esperando","esperar"
"289",1,"menina","menino"
"290",1,"larissa",NA
"291",1,"homenagem",NA
"292",1,"idola",NA
"293",1,"amor",NA
"294",1,"primo","premir"
"295",1,"primo","primar"
"296",1,"comprou","comprar"
"297",1,"ingresso","ingressar"
"298",1,"ensaio","ensaiar"
"299",1,"aniversario","aniversariar"
"300",1,"emocionada","emocionado"
"301",1,"emocionada","emocionar"
"302",1,"sonho","sonhar"
"303",1,"musica","musicar"
"304",1,"gatilho",NA
"305",1,"coreografia",NA
"306",1,"treco",NA
"307",1,"lembrar",NA
"308",1,"antigas","antigo"
"309",1,"coracao",NA
"310",1,"lt",NA
"311",1,"venceu","vencer"
"312",1,"crl",NA
"313",1,"mamacita",NA
"314",1,"maos",NA
"315",1,"entregar",NA
"316",1,"hit",NA
"317",1,"verao",NA
"318",1,"practice",NA
"319",1,"funk",NA
"320",1,"psicologicamente",NA
"321",1,"preparada","preparado"
"322",1,"preparada","preparar"
"323",1,"show",NA
"324",1,"cha",NA
"325",1,"louco",NA
"326",1,"gracas",NA
"327",1,"vanderlandias",NA
"328",1,"incrivel",NA
"329",1,"passada","passado"
"330",1,"passada","passar"
"331",1,"farmacia",NA
"332",1,"pao",NA
"333",1,"acucar",NA
"334",1,"vendendo","vender"
"335",1,"perfume","perfumar"
"336",1,"xot",NA
"337",1,"sonho","sonhar"
"338",1,"lancar",NA
"339",1,"veneno",NA
"340",1,"atuais",NA
"341",1,"imagina","imaginar"
"342",1,"surto","surtir"
"343",1,"arte",NA
"344",1,"queria","querer"
"345",1,"levasse","levar"
"346",1,"gravacao",NA
"347",1,"grammy",NA
"348",1,"latin",NA
"349",1,"fama",NA
"350",1,"felicito","felicitar"
"351",1,"pano","panar"
"352",1,"meo",NA
"353",1,"deos",NA
"354",1,"antigas","antigo"
"355",1,"treinar",NA
"356",1,"brabas",NA
"357",1,"envolver",NA
"358",1,"acreditava","acreditar"
"359",1,"mudou","mudar"
"360",1,"carreira",NA
"361",1,"envolver",NA
"362",1,"famosa","famoso"
"363",1,"ganhado","ganhar"
"364",1,"plabo",NA
"365",1,"arrasaram","arrasar"
"366",1,"merecido","merecer"
"367",1,"premiacao",NA
"368",1,"indicada","indicado"
"369",1,"indicada","indicar"
"370",1,"perturbar",NA
"371",1,"site",NA
"372",1,"twitter",NA
"373",1,"resume","resumir"
"374",1,"mauritania",NA
"375",1,"performance",NA
"376",1,"pulava","pular"
"377",1,"janeiro",NA
"378",1,"ensaio","ensaiar"
"379",1,"dava","dar"
"380",1,"start",NA
"381",1,"carnaval",NA
"382",1,"musicas","musicar"
"383",1,"antigas","antigo"
"384",1,"terapia",NA
"385",1,"manha",NA
"386",1,"assistindo","assistir"
"387",1,"savagexfentyshow",NA
"388",1,"arrasando","arrasar"
"389",1,"brasileiros","brasileiro"
"390",1,"mexer",NA
"391",1,"bunda",NA
"392",1,"mexe","mexer"
"393",1,"unica",NA
"394",1,"comprei","comprar"
"395",1,"ingressos","ingresso"
"396",1,"ensaio","ensaiar"
"397",1,"sp",NA
"398",1,"janeiro",NA
"399",1,"fingindo","fingir"
"400",1,"abracando",NA
"401",1,"video",NA
"402",1,"pegou","pegar"
"403",1,"queria","querer"
"404",1,"abracar",NA
"405",1,"menina","menino"
"406",1,"proximo",NA
"407",1,"gostosinho",NA
"408",1,"abraco",NA
"409",1,"shampoo",NA
"410",1,"caralho",NA
"411",1,"asa","asar"
"412",1,"mane","manar"
"413",1,"mane","manir"
"414",1,"cabelo","cabelar"
"415",1,"macio","maciar"
"416",1,"fina","finar"
"417",1,"fina","fino"
"418",1,"mluizad",NA
"419",1,"chegou","chegar"
"420",1,"nivel",NA
"421",1,"amiga","amigar"
"422",1,"amiga","amigo"
"423",1,"mariah",NA
"424",1,"carey",NA
"425",1,"rihanna",NA
"426",1,"madonna",NA
"427",1,"snoop",NA
"428",1,"dogg",NA
"429",1,"cardi",NA
"430",1,"blackpink",NA
"431",1,"black",NA
"432",1,"jimmy",NA
"433",1,"fallon",NA
"434",1,"christina",NA
"435",1,"aguilera",NA
"436",1,"miley",NA
"437",1,"cyrus",NA
"438",1,"ces",NA
"439",1,"nocao",NA
"440",1,"beyonce",NA
"441",1,"fechar",NA
"442",1,"lista",NA
"443",1,"puzzy",NA
"444",1,"compra","comprar"
"445",1,"vida","vidar"
"446",1,"comecei","começar"
"447",1,"fenty",NA
"448",1,"savage",NA
"449",1,"venceu","vencer"
"450",1,"mulher",NA
"451",1,"luxo","luxar"
"452",1,"sonhei","sonhar"
"453",1,"respondia","responder"
"454",1,"ficava","ficar"
"455",1,"batendo","bater"
"456",1,"papo","papar"
"457",1,"feliz",NA
"458",1,"amor",NA
"459",1,"votacao",NA
"460",1,"peoples",NA
"461",1,"choice",NA
"462",1,"awards",NA
"463",1,"fechou","fechar"
"464",1,"espero","esperar"
"465",1,"leve","levar"
"466",1,"chato",NA
"467",1,"paz",NA
"468",1,"affs",NA
"469",1,"ganhe","ganhar"
"470",1,"grammy",NA
"471",1,"musica","musicar"
"472",1,"complicado","complicar"
"473",1,"vitao",NA
"474",1,"senhorrr",NA
"475",1,"morrer",NA
"476",1,"completamente",NA
"477",1,"xoxa",NA
"478",1,"consegui","conseguir"
"479",1,"comprar",NA
"480",1,"ingresso","ingressar"
"481",1,"show",NA
"482",1,"practice",NA
"483",1,"envolver",NA
"484",1,"ouvi","ouvir"
"485",1,"perfeita","perfazer"
"486",1,"perfeita","perfeito"
"487",1,"espanhol",NA
"488",1,"pqp",NA
"489",1,"amo","amar"
"490",1,"veneno",NA
"491",1,"xodo",NA
"492",1,"mandou","mandar"
"493",1,"mensagem",NA
"494",1,"pena","penar"
"495",1,"pena","peno"
"496",1,"bichinha","bicha"
"497",1,"bichinha","bicho"
"498",1,"queria","querer"
"499",1,"abraco",NA
"500",1,"bebe","beber"
"501",1,"lembrando","lembrar"
"502",1,"enfartei","enfartar"
"503",1,"retweetado",NA
"504",1,"tweet",NA
"505",1,"lancou",NA
"506",1,"envolver",NA
"507",1,"conquistou","conquistar"
"508",1,"musica","musicar"
"509",1,"merito",NA
"510",1,"insistiu","insistir"
"511",1,"ideia","idear"
"512",1,"cravo","cravar"
"513",1,"canela","canelar"
"514",1,"melhores","melhor"
"515",1,"melhores","melhorar"
"516",1,"musicas","musicar"
"517",1,"clipe",NA
"518",1,"musica","musicar"
"519",1,"estetica",NA
"520",1,"envolver",NA
"521",1,"historia","historiar"
"522",1,"envolver",NA
"523",1,"musica","musicar"
"524",1,"ansioso",NA
"525",1,"mamis",NA
"526",1,"savage",NA
"527",1,"fenty",NA
"528",1,"show",NA
"529",1,"superou","superar"
"530",1,"volume","volumar"
"531",1,"unica",NA
"532",1,"show",NA
"533",1,"inclusive",NA
"534",1,"funk",NA
"535",1,"funk",NA
"536",1,"reproduzido","reproduzir"
"537",1,"brasil",NA
"538",1,"comprei","comprar"
"539",1,"rexona",NA
"540",1,"bang",NA
"541",1,"cheiro","cheirar"
"542",1,"simplesmente",NA
"543",1,"perfeito","perfazer"
"544",1,"apaixonada","apaixonado"
"545",1,"apaixonada","apaixonar"
"546",1,"depp",NA
"547",1,"basica",NA
"548",1,"esforcou",NA
"549",1,"credo",NA
"550",1,"porem","pôr"
"551",1,"resto","restar"
"552",1,"entregou","entregar"
"553",1,"inclusive",NA
"554",1,"gostosa","gostoso"
"555",1,"orgulho","orgulhar"
"556",1,"mulher",NA
"557",1,"savagexfenty",NA
"558",1,"viciado","viciar"
"559",1,"faking",NA
"560",1,"love",NA
"561",1,"acertou","acertar"
"562",1,"beat",NA
"563",1,"amor",NA
"564",1,"amo","amar"
"565",1,"menina","menino"
"566",1,"falando","falar"
"567",1,"fracassada","fracassado"
"568",1,"fracassada","fracassar"
"569",1,"fracassada","fracassado"
"570",1,"fracassada","fracassar"
"571",1,"nivel",NA
"572",1,"amo","amar"
"573",1,"meteu","meter"
"574",1,"envolver",NA
"575",1,"savage",NA
"576",1,"fenty",NA
"577",1,"grava","gravar"
"578",1,"dou","dar"
"579",1,"amor",NA
"580",1,"amor",NA
"581",1,"amo","amar"
"582",1,"viciada","viciado"
"583",1,"viciada","viciar"
"584",1,"gata","gatar"
"585",1,"gata","gato"
"586",1,"amo","amar"
"587",1,"cantando","cantar"
"588",1,"italiano",NA
"589",1,"acreditando","acreditar"
"590",1,"front",NA
"591",1,"show",NA
"592",1,"nocao",NA
"593",1,"savagexfenty",NA
"594",1,"muitoooo",NA
"595",1,"amo","amar"
"596",1,"chorando","chorar"
"597",1,"funk",NA
"598",1,"simplismente",NA
"599",1,"emocionante",NA
"600",1,"ouvindo","ouvir"
"601",1,"relaxar",NA
"602",1,"simplesmente",NA
"603",1,"viralizou",NA
"604",1,"us",NA
"605",1,"machos","macho"
"606",1,"heteros",NA
"607",1,"loucos","louco"
"608",1,"comentarios",NA
"609",1,"mexe","mexer"
"610",1,"comigo",NA
"611",1,"explicar",NA
"612",1,"im",NA
"613",1,"voting",NA
"614",1,"favorite",NA
"615",1,"female",NA
"616",1,"latin",NA
"617",1,"artist",NA
"618",1,"amas","amar"
"619",1,"amas","amo"
"620",1,"tudovei",NA
"621",1,"amo","amar"
"622",1,"anitter",NA
"623",1,"feliz",NA
"624",1,"comprei","comprar"
"625",1,"ingresso","ingressar"
"626",1,"carnaval",NA
"627",1,"espero","esperar"
"628",1,"ensaio","ensaiar"
"629",1,"role","rolar"
"630",1,"primas","premir"
"631",1,"primas","prima"
"632",1,"primas","primar"
"633",1,"primas","primo"
"634",1,"show",NA
"635",1,"ficar",NA
"636",1,"grade","gradar"
"637",1,"satisfeito","satisfazer"
"638",1,"sentir",NA
"639",1,"cheiro","cheirar"
"640",1,"puzzy",NA
"641",1,"passar",NA
"642",1,"yag",NA
"643",1,"queria","querer"
"644",1,"show",NA
"645",1,"lembrando","lembrar"
"646",1,"cd",NA
"647",1,"compilado","compilar"
"648",1,"shows","show"
"649",1,"cantando","cantar"
"650",1,"melhores","melhor"
"651",1,"melhores","melhorar"
"652",1,"antigas","antigo"
"653",1,"amava","amar"
"654",1,"saudades","saudade"
"655",1,"musicas","musicar"
"656",1,"portugues",NA
"657",1,"escutando","escutar"
"658",1,"acalmando","acalmar"
"659",1,"preciso","precisar"
"660",1,"amigos","amigo"
"661",1,"curtam","curtir"
"662",1,"juntoooo",NA
"663",1,"ensaio","ensaiar"
"664",1,"ansioso",NA
"665",1,"ensaio","ensaiar"
"666",1,"bloco",NA
"667",1,"ansioso",NA
"668",1,"show",NA
"669",1,"fenty",NA
"670",1,"entregou","entregar"
"671",1,"amor",NA
"672",1,"deus",NA
"673",1,"perfume","perfumar"
"674",1,"intimo","intimar"
"675",1,"cheiroso",NA
"676",1,"passei","passar"
"677",1,"pouquinho","pouco"
"678",1,"braco",NA
"679",1,"experimentar",NA
"680",1,"cheiro","cheirar"
"681",1,"fixou","fixar"
"682",1,"queria","querer"
"683",1,"rebolar",NA
"684",1,"mundo",NA
"685",1,"vermelho","vermelhar"
"686",1,"hahhaha",NA
"687",1,"unica",NA
"688",1,"pessoa",NA
"689",1,"brasil",NA
"690",1,"reconhecido","reconhecer"
"691",1,"emociono","emocionar"
"692",1,"conquistou","conquistar"
"693",1,"conquista","conquistar"
"694",1,"acreditar",NA
"695",1,"perseveranca",NA
"696",1,"vale","valar"
"697",1,"vale","valer"
"698",1,"pena","penar"
"699",1,"pena","peno"
"700",1,"orr",NA
"701",1,"ensaio","ensaiar"
"702",1,"bebendo","beber"
"703",1,"vinho",NA
"704",1,"ouvindo","ouvir"
"705",1,"antigas","antigo"
"706",1,"vibe",NA
"707",1,"lancar",NA
"708",1,"versao",NA
"709",1,"funk",NA
"710",1,"practice",NA
"711",1,"viciei","viciar"
"712",1,"causa","causar"
"713",1,"desfile","desfilar"
"714",1,"unica",NA
"715",1,"novela","novelar"
"716",1,"musica","musicar"
"717",1,"boys",NA
"718",1,"dont",NA
"719",1,"cry",NA
"720",1,"boys",NA
"721",1,"dont",NA
"722",1,"cry",NA
"723",1,"hitado",NA
"724",1,"tragedia","tragediar"
"725",1,"carreira",NA
"726",1,"demaissss",NA
"727",1,"merecia","merecer"
"728",1,"grandona","grandão"
"729",1,"savage",NA
"730",1,"fenty",NA
"731",1,"topo","topar"
"732",1,"topo","topar"
"733",1,"unico",NA
"734",1,"orgulho","orgulhar"
"735",1,"brasil",NA
"736",1,"ultimos",NA
"737",1,"tempos","tempo"
"738",1,"ficar",NA
"739",1,"dinheiro",NA
"740",1,"viralizou",NA
"741",1,"atras","atro"
"742",1,"make",NA
"743",1,"maquiador",NA
"744",1,"kim",NA
"745",1,"quis","querer"
"746",1,"vida","vidar"
"747",1,"gostosa","gostoso"
"748",1,"rosto","rostir"
"749",1,"maiara",NA
"750",1,"maraisa",NA
"751",1,"empolgado","empolgar"
"752",1,"surfar",NA
"753",1,"acontecer",NA
"754",1,"lembrei","lembrar"
"755",1,"escondida","esconder"
"756",1,"escondida","escondido"
"757",1,"irma",NA
"758",1,"bloquinho","bloco"
"759",1,"simplesmente",NA
"760",1,"apareci","aparecer"
"761",1,"instagram",NA
"762",1,"ouvindo","ouvir"
"763",1,"melhores","melhor"
"764",1,"melhores","melhorar"
"765",1,"amo","amar"
"766",1,"baita",NA
"767",1,"destaque","destacar"
"768",1,"desfile","desfilar"
"769",1,"rihanna",NA
"770",1,"pena","penar"
"771",1,"pena","peno"
"772",1,"edicao",NA
"773",1,"johnny",NA
"774",1,"depp",NA
"775",1,"boicotar",NA
"776",1,"apresentacao",NA
"777",1,"los","o"
"778",1,"canso","cansar"
"779",1,"verrr",NA
"780",1,"continuo","continuar"
"781",1,"entendendo","entender"
"782",1,"grata","grato"
"783",1,"desistido","desistir"
"784",1,"musicas","musicar"
"785",1,"antigas","antigo"
"786",1,"fodas","foda"
"787",1,"fodas","foder"
"788",1,"vsf",NA
"789",1,"injusto",NA
"790",1,"redes","redar"
"791",1,"redes","rede"
"792",1,"sociais","social"
"793",1,"valorizar",NA
"794",1,"comprei","comprar"
"795",1,"puzzy",NA
"796",1,"by",NA
"797",1,"soubesse","saber"
"798",1,"amo","amar"
"799",1,"musicas","musicar"
"800",1,"antigas","antigo"
"801",1,"escutado","escutar"
"802",1,"practice",NA
"803",1,"muitoooo",NA
"804",1,"viciado","viciar"
"805",1,"set",NA
"806",1,"tribal",NA
"807",1,"voz",NA
"808",1,"senta","sentar"
"809",1,"senta","sentar"
"810",1,"senta","sentar"
"811",1,"amo","amar"
"812",1,"diva","divo"
"813",1,"assuntos","assunto"
"814",1,"comentados","comentado"
"815",1,"comentados","comentar"
"816",1,"arrepia","arrepiar"
"817",1,"video",NA
"818",1,"produzindo","produzir"
"819",1,"envolver",NA
"820",1,"estudio",NA
"821",1,"lenda",NA
"822",1,"queria","querer"
"823",1,"dinheiro",NA
"824",1,"ensaio","ensaiar"
"825",1,"gosto","gostar"
"826",1,"gostando","gostar"
"827",1,"ativa",NA
"828",1,"nuncamas",NA
"829",1,"envolva","envolver"
"830",1,"politica","politicar"
"831",1,"comeca",NA
"832",1,"falando","falar"
"833",1,"certocerto",NA
"834",1,"noiadaobs",NA
"835",1,"falando","falar"
"836",1,"politico","politicar"
"837",1,"firmeza",NA
"838",1,"falae",NA
"839",1,"sustentar",NA
"840",1,"sinto","sentir"
"841",1,"orgulho","orgulhar"
"842",1,"irma",NA
"843",1,"familia",NA
"844",1,"sentimento",NA
"845",1,"louco",NA
"846",1,"amo","amar"
"847",1,"desmonta","desmontar"
"848",1,"musica","musicar"
"849",1,"envolver",NA
"850",1,"levou","levar"
"851",1,"lugares","lugar"
"852",1,"inimaginaveis",NA
"853",1,"emocionante",NA
"854",1,"conseguindo","conseguir"
"855",1,"reconhecimento",NA
"856",1,"merece","merecer"
"857",1,"trouxe","trazer"
"858",1,"top",NA
"859",1,"global",NA
"860",1,"vmas",NA
"861",1,"parabens",NA
"862",1,"envolve","envolver"
"863",1,"queria","querer"
"864",1,"viciado","viciar"
"865",1,"vencer",NA
"866",1,"vida","vidar"
"867",1,"casava","casar"
"868",1,"viciado","viciar"
"869",1,"practice",NA
"870",1,"chocado","chocar"
"871",1,"indicados","indicado"
"872",1,"indicados","indicar"
"873",1,"best",NA
"874",1,"new",NA
"875",1,"artist",NA
"876",1,"comeco",NA
"877",1,"acreditar",NA
"878",1,"indicada","indicado"
"879",1,"indicada","indicar"
"880",1,"incrivel",NA
"881",1,"lancou",NA
"882",1,"envolver",NA
"883",1,"maiores","maior"
"884",1,"atos",NA
"885",1,"carreira",NA
"886",1,"girl",NA
"887",1,"rio","rir"
"888",1,"cabeca",NA
"889",1,"ganhadores","ganhador"
"890",1,"grammys",NA
"891",1,"aotymotomami",NA
"892",1,"sotyalien",NA
"893",1,"superstar",NA
"894",1,"best",NA
"895",1,"newanitta",NA
"896",1,"maiara",NA
"897",1,"maraisa",NA
"898",1,"deus",NA
"899",1,"vontade",NA
"900",1,"pronta","pronto"
"901",1,"maiara",NA
"902",1,"maraisa",NA
"903",1,"pessoa",NA
"904",1,"feliz",NA
"905",1,"mundo",NA
"906",1,"ensaio","ensaiar"
"907",1,"cantar",NA
"908",1,"musica","musicar"
"909",1,"copa","copar"
"910",1,"perfeita","perfazer"
"911",1,"perfeita","perfeito"
"912",1,"incrivel",NA
"913",1,"venceu","vencer"
"914",1,"downtown",NA
"915",1,"paro","parar"
"916",1,"paro","parir"
"917",1,"catando","catar"
"918",1,"practice",NA
"919",1,"fenty",NA
"920",1,"show",NA
"921",1,"incredulo",NA
"922",1,"conseguir",NA
"923",1,"recife",NA
"924",1,"dinheiro",NA
"925",1,"show",NA
"926",1,"realizar",NA
"927",1,"sonho","sonhar"
"928",1,"prepare","preparar"
"929",1,"recife",NA
"930",1,"ficar",NA
"931",1,"boys",NA
"932",1,"dont",NA
"933",1,"cry",NA
"934",1,"tocando","tocar"
"935",1,"lojas","loja"
"936",1,"famosa","famoso"
"937",1,"academia","academiar"
"938",1,"tocando","tocar"
"939",1,"paraiso",NA
"940",1,"inventou","inventar"
"941",1,"reaggeton",NA
"942",1,"diva","divo"
"943",1,"irmao",NA
"944",1,"cantor",NA
"945",1,"favorito",NA
"946",1,"respondeu","responder"
"947",1,"prometeu","prometer"
"948",1,"entregou","entregar"
"949",1,"carreira",NA
"950",1,"historia","historiar"
"951",1,"amor",NA
"952",1,"falando","falar"
"953",1,"jennie",NA
"954",1,"kim",NA
"955",1,"precisa","precisar"
"956",1,"precisa","preciso"
"957",1,"ninguem",NA
"958",1,"sucesso",NA
"959",1,"supera","superar"
"960",1,"amore",NA
"961",1,"tirar",NA
"962",1,"jennie",NA
"963",1,"tweets",NA
"964",1,"sobra","sobrar"
"965",1,"obcecada","obcecado"
"966",1,"obcecada","obcecar"
"967",1,"entendo","entender"
"968",1,"obcecada","obcecado"
"969",1,"obcecada","obcecar"
"970",1,"httpstcolbhnnnlxu",NA
"971",1,"atrasado","atrasar"
"972",1,"chegou","chegar"
"973",1,"entregou","entregar"
"974",1,"httpstcoyzxgudi",NA
"975",1,"mamae",NA
"976",-1,"ignorancia",NA
"977",-1,"bencao",NA
"978",-1,"queria","querer"
"979",-1,"servia","servir"
"980",-1,"vereador",NA
"981",-1,"deputado","deputar"
"982",1,"triste",NA
"983",1,"tempos","tempo"
"984",1,"find",NA
